EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP,EastError,NorthError,UpError,NumSats
522051.000000,-1641889.203006,-3664875.116899,4939966.042508,1.661054,0.783631,0.937832,1.222132,1.324481,-0.897624,1.176831,-5.292805,12
522052.000000,-1641889.058572,-3664875.200490,4939965.812995,1.782248,0.783623,0.937807,1.222107,1.324451,-0.731636,1.019240,-5.460549,12
522054.000000,-1641889.162894,-3664875.396275,4939966.018551,1.432438,0.783606,0.937756,1.222057,1.324389,-0.746777,0.976188,-5.161575,12
522055.000000,-1641889.253418,-3664875.262361,4939965.856983,1.625483,0.783597,0.937730,1.222032,1.324359,-0.884146,0.940960,-5.340796,12
522056.000000,-1641889.214288,-3664875.504475,4939966.392620,1.341561,0.783589,0.937704,1.222007,1.324328,-0.749433,1.118027,-4.795309,12
522057.000000,-1641889.183609,-3664875.703392,4939966.405530,1.256858,0.783581,0.937679,1.221982,1.324297,-0.640095,0.994669,-4.679102,12
522059.000000,-1641889.213984,-3664875.141897,4939966.268091,1.622630,0.783564,0.937627,1.221932,1.324236,-0.897420,1.297314,-5.100148,12
522060.000000,-1641889.278728,-3664875.309117,4939966.098570,1.549385,0.783555,0.937602,1.221906,1.324205,-0.888124,1.051490,-5.119531,12
522061.000000,-1641889.357984,-3664874.834153,4939966.508255,1.764294,0.783547,0.937576,1.221881,1.324174,-1.154671,1.620880,-5.052742,12
522062.000000,-1641889.098408,-3664875.217595,4939966.108411,1.770437,0.783538,0.937550,1.221856,1.324143,-0.760994,1.180019,-5.210672,12
522064.000000,-1641889.169584,-3664875.238798,4939966.012980,1.834961,0.783521,0.937498,1.221805,1.324081,-0.817277,1.082366,-5.254476,12
522065.000000,-1641888.888161,-3664875.236122,4939965.801427,1.750433,0.783513,0.937472,1.221780,1.324050,-0.561553,1.040889,-5.492899,12
522066.000000,-1641888.760229,-3664874.866595,4939966.020083,1.964006,0.783504,0.937446,1.221754,1.324019,-0.595911,1.481321,-5.567509,12
522068.000000,-1641889.076521,-3664874.767475,4939965.829598,1.892468,0.783487,0.937394,1.221703,1.323957,-0.925082,1.331396,-5.691280,12
522069.000000,-1641888.827806,-3664874.313822,4939965.578181,2.384847,0.783479,0.937368,1.221678,1.323926,-0.883618,1.574657,-6.210872,12
522070.000000,-1641888.858573,-3664874.271349,4939965.406561,2.496159,0.783470,0.937341,1.221652,1.323895,-0.929064,1.487202,-6.360841,12
522071.000000,-1641889.364750,-3664874.913685,4939965.849632,1.747009,0.783462,0.937315,1.221627,1.323863,-1.128324,1.148478,-5.517820,12
522073.000000,-1641889.169257,-3664874.515515,4939966.176680,2.200092,0.783445,0.937262,1.221575,1.323801,-1.112741,1.698838,-5.541879,12
522074.000000,-1641888.786381,-3664874.203002,4939965.777264,2.490330,0.783436,0.937236,1.221550,1.323769,-0.891131,1.791591,-6.130163,12
522075.000000,-1641889.048788,-3664874.352548,4939965.819019,2.411641,0.783427,0.937210,1.221524,1.323738,-1.069444,1.628165,-5.944524,12
522076.000000,-1641889.068770,-3664874.093916,4939965.398578,2.420931,0.783419,0.937183,1.221498,1.323706,-1.193438,1.541290,-6.414778,12
522078.000000,-1641889.233298,-3664874.501264,4939966.050010,2.199566,0.783402,0.937130,1.221446,1.323643,-1.177011,1.609000,-5.632147,12
522079.000000,-1641889.088045,-3664874.181089,4939965.866645,2.414888,0.783393,0.937103,1.221420,1.323611,-1.175382,1.767331,-5.995688,12
522080.000000,-1641888.914362,-3664874.634928,4939965.711395,2.184574,0.783385,0.937077,1.221394,1.323580,-0.831301,1.402831,-5.900895,12
522081.000000,-1641889.466682,-3664874.783184,4939965.849206,2.017303,0.783376,0.937050,1.221368,1.323548,-1.274708,1.208436,-5.566784,12
522083.000000,-1641889.059124,-3664875.020758,4939966.212555,1.885819,0.783359,0.936996,1.221316,1.323484,-0.805635,1.397697,-5.252591,12
522084.000000,-1641889.019721,-3664874.162224,4939965.617506,2.365899,0.783350,0.936970,1.221290,1.323452,-1.120745,1.645939,-6.217888,12
522085.000000,-1641889.295887,-3664874.501349,4939966.535208,1.825488,0.783341,0.936943,1.221264,1.323420,-1.234093,1.893856,-5.238532,12
522087.000000,-1641888.936198,-3664874.720128,4939966.206242,1.933260,0.783324,0.936889,1.221211,1.323356,-0.816389,1.646282,-5.461443,12
522088.000000,-1641889.162479,-3664874.805172,4939966.369902,1.762461,0.783316,0.936862,1.221185,1.323324,-0.988110,1.616734,-5.227223,12
522089.000000,-1641889.131473,-3664875.046464,4939966.577731,1.800581,0.783307,0.936835,1.221159,1.323292,-0.861147,1.585853,-4.935157,12
522090.000000,-1641889.066193,-3664874.917240,4939966.161694,1.767053,0.783298,0.936808,1.221133,1.323260,-0.854416,1.436991,-5.349696,12
522092.000000,-1641889.022145,-3664874.527273,4939966.027147,2.203199,0.783281,0.936753,1.221080,1.323196,-0.973683,1.643347,-5.689269,12
522093.000000,-1641888.822429,-3664874.639650,4939965.430307,2.149713,0.783272,0.936726,1.221053,1.323164,-0.745475,1.252130,-6.140494,12
522094.000000,-1641889.072932,-3664875.170899,4939965.946833,1.708556,0.783264,0.936699,1.221027,1.323131,-0.756840,1.119765,-5.369698,12
522095.000000,-1641889.402153,-3664874.844707,4939965.568012,2.159404,0.783255,0.936671,1.221000,1.323099,-1.190664,1.008622,-5.766860,12
522097.000000,-1641888.999073,-3664874.696432,4939965.750431,2.302880,0.783238,0.936617,1.220947,1.323034,-0.883456,1.356737,-5.813500,12
